pair_id,algo,x,y
17,RRT,82.0,83.0
18,RRT,63.0,94.0
18,RRT,62.33,91.08
18,RRT,59.6,89.85
18,RRT,57.74,87.49
18,RRT,57.1,84.55
18,RRT,58.41,81.86
18,RRT,57.2,79.11
18,RRT,58.29,76.32
18,RRT,59.04,73.41
18,RRT,56.87,71.34
18,RRT,56.82,68.34
18,RRT,56.08,65.43
18,RRT,58.09,63.2
18,RRT,58.69,60.27
18,RRT,56.18,58.63
18,RRT,53.21,58.22
18,RRT,50.33,57.36
18,RRT,47.48,56.43
18,RRT,44.72,55.27
18,RRT,42.1,53.81
18,RRT,41.16,50.96
18,RRT,38.23,50.34
18,RRT,36.15,48.17
18,RRT,33.8,50.03
18,RRT,31.93,47.68
18,RRT,29.32,49.16
18,RRT,26.92,50.96
18,RRT,25.13,53.36
18,RRT,22.71,55.14
18,RRT,20.69,57.36
18,RRT,18.67,59.58
18,RRT,15.79,58.73
18,RRT,14.83,61.57
18,RRT,13.29,64.15
18,RRT,11.76,66.73
18,RRT,11.0,68.0
19,RRT,96.0,16.0
19,RRT,93.18,17.03
19,RRT,90.82,18.87
19,RRT,88.26,20.44
19,RRT,85.34,19.77
19,RRT,82.42,19.06
19,RRT,79.44,19.39
19,RRT,77.52,21.69
19,RRT,74.65,22.58
19,RRT,72.92,25.03
19,RRT,70.49,26.79
19,RRT,67.52,26.34
19,RRT,64.63,25.54
19,RRT,61.85,26.68
19,RRT,59.92,28.97
19,RRT,58.92,31.79
19,RRT,56.05,32.67
19,RRT,53.18,33.54
19,RRT,50.18,33.41
19,RRT,47.34,34.38
19,RRT,45.79,36.94
19,RRT,43.63,39.03
19,RRT,44.04,42.0
19,RRT,41.46,43.52
19,RRT,39.78,46.0
19,RRT,36.8,45.65
19,RRT,34.29,44.0
19,RRT,32.26,41.79
19,RRT,29.36,42.58
19,RRT,27.07,40.65
19,RRT,24.91,42.73
19,RRT,22.0,43.0
20,RRT,31.0,84.0
20,RRT,29.77,81.27
20,RRT,28.54,78.53
20,RRT,26.16,76.7
20,RRT,25.47,73.78
20,RRT,24.51,70.94
20,RRT,24.31,67.94
20,RRT,25.0,65.03
20,RRT,24.99,62.03
